2019-09-29 19:24:33.832734,297,14.3,1e-10,13.135541920243014,2.3754152823920267e-23,1.5225865915115582e-11,862712307692.3077,1.1591349643253923e-12
0,0,0,0
-5.535469038868658e-09,-6.677514098711468e-09,-1.219705282442999e-08,1.0000019616130166e-06
-9.579052994570115e-09,-4.4174203138784685e-09,-7.65284460744996e-09,2.000003923226033e-06
-1.2467807882968294e-08,-1.6391483533941118e-08,-1.5207980100577622e-08,3.0000058848390495e-06
-1.6451797131775416e-08,-6.568421216488029e-09,-2.32129776319096e-08,4.000007846452066e-06
2.683257977770829e-09,-1.053528163812117e-08,-2.848859637797328e-08,5.000009808065083e-06
4.306152431767477e-09,-1.8606171777758476e-08,-1.557397020058854e-08,6.0000117696781e-06
1.1290978334314462e-08,-2.5005040575686542e-08,-1.7500883825040122e-08,7.000013731291117e-06
1.1024832062198793e-08,-3.028811515634962e-08,-1.7938718911017904e-08,8.000015692904133e-06
1.675601043906026e-08,-3.2464662128902015e-08,-1.705568736532614e-08,9.00001765451715e-06
2.2091407004915613e-08,-2.969395923379234e-08,-2.2015088083110314e-08,1.0000019616130166e-05
2.4296396394203405e-08,-3.198652223698568e-08,-2.536773066008821e-08,1.1000021577743183e-05
2.0094902610103317e-08,-2.5705593806871096e-08,-3.829463748130276e-08,1.20000235393562e-05
3.228846337545217e-08,-1.1138726906041461e-08,-4.243140599469428e-08,1.3000025500969216e-05
3.8829851711227526e-08,-1.4245999907730357e-08,-4.7313700619500005e-08,1.4000027462582233e-05
4.4567129528637454e-08,-6.66332458796782e-09,-4.688779338507867e-08,1.500002942419525e-05
5.745610323034034e-08,-1.3586601489010464e-08,-3.3916244707802816e-08,1.6000031385808265e-05
5.425185605840463e-08,-1.4740215297871746e-08,-2.7097171122829928e-08,1.700003334742128e-05
6.18244214030251e-08,-1.5234843487607423e-08,-2.530355051169506e-08,1.8000035309034295e-05
5.4987880125178556e-08,-3.7165085899511882e-09,-2.3599677111397825e-08,1.900003727064731e-05
6.07531638978501e-08,3.504129523986562e-09,-2.3125594287168698e-08,2.0000039232260325e-05
7.297070931247121e-08,1.5564529300201641e-09,-9.838482955297037e-09,2.100004119387334e-05
7.997753719563343e-08,1.8711198243990367e-09,-1.0463741686384346e-08,2.2000043155486356e-05
6.35790416584976e-08,5.654100070975594e-10,-9.572115573596392e-09,2.300004511709937e-05
7.550501051494939e-08,-1.7270944838510634e-09,-2.181228526295327e-09,2.4000047078712386e-05
7.666426733337382e-08,9.710245940700644e-10,-5.08568877923207e-09,2.50000490403254e-05
6.408203982975918e-08,-9.552226840053749e-10,2.9366576117075034e-09,2.6000051001938416e-05
7.557846856361772e-08,1.1020495636340426e-08,1.0441277339205083e-08,2.700005296355143e-05
